         TOF        Yobs        Ycal     YcalBad
     9091.76    18701.00    18509.00    18470.00
     9096.31    18654.00    18503.00    18470.00
     9100.86    18411.00    18498.00    18590.00
     9105.41    18678.00    18494.00    18590.00
     9109.97    18308.00    18490.00    18600.00
     9114.52    18707.00    18487.00    18610.00
     9119.07    18813.00    18485.00    18630.00
     9123.63    19872.00    18471.00    18640.00
     9128.19    20299.00    18470.00    18660.00
     9132.76    19151.00    18470.00    18670.00
     9137.32    19072.00    18470.00    18700.00
     9141.90    19038.00    18469.00    18720.00
     9146.48    18031.00    18469.00    18750.00
     9151.04    18567.00    18469.00    18800.00
     9155.62    19272.00    18469.00    18860.00
     9160.20    19761.00    18593.00    18970.00
     9164.78    17577.00    18602.00    19170.00
     9169.36    18400.00    18612.00    19570.00
     9173.93    18092.00    18623.00    20430.00
     9178.53    17858.00    18636.00    22260.00
     9183.12    19165.00    18651.00    26040.00
     9187.72    18893.00    18668.00    33360.00
     9192.31    17945.00    18687.00    46400.00
     9196.90    18922.00    18709.00    67370.00
     9201.50    18617.00    18736.00    97390.00
     9206.09    17890.00    18768.00   135110.00
     9210.70    18602.00    18810.00   175970.00
     9215.31    19365.00    18866.00   212610.00
     9219.92    20027.00    18952.00   237770.00
     9224.53    19289.00    19099.00   247140.00
     9229.14    20030.00    19380.00   240860.00
     9233.75    19352.00    19958.00   222770.00
     9238.36    19595.00    21180.00   198310.00
     9242.98    22375.00    23736.00   172030.00
     9247.61    27195.00    28815.00   147220.00
     9252.23    36598.00    38196.00   125370.00
     9256.86    52128.00    53995.00   106830.00
     9261.48    80224.00    77882.00    91380.00
     9266.12   115645.00   109977.00    78560.00
     9270.76   154503.00   147400.00    67990.00
     9275.39   193726.00   184314.00    59320.00
     9280.03   223429.00   213941.00    52160.00
     9284.67   233913.00   230498.00    46280.00
     9289.31   233542.00   231950.00    41440.00
     9293.96   221882.00   220196.00    37460.00
     9298.60   206082.00   199875.00    34220.00
     9303.24   182760.00   175695.00    31620.00
     9307.90   157265.00   151414.00    29610.00
     9312.55   130315.00   129314.00    28250.00
     9317.21   110575.00   110223.00    27760.00
     9321.86    93398.00    94184.00    28630.00
     9326.53    78515.00    80842.00    31700.00
     9331.20    66631.00    69843.00    38140.00
     9335.86    60309.00    60821.00    49090.00
     9340.53    52969.00    53379.00    65150.00
     9345.20    44707.00    47264.00    85460.00
     9349.87    44888.00    42248.00   107340.00
     9354.54    41246.00    38140.00   126780.00
     9359.21    36770.00    34799.00   139850.00
     9363.90    34473.00    32120.00   144270.00
     9368.58    31423.00    30084.00   140190.00
     9373.27    29892.00    28771.00   129780.00
     9377.95    29579.00    28449.00   116010.00
     9382.64    30720.00    29679.00   101490.00
     9387.33    33905.00    33385.00    87880.00
     9392.03    42911.00    40817.00    75920.00
     9396.73    54272.00    53122.00    65800.00
     9401.41    74683.00    70608.00    57430.00
     9406.12    96921.00    92230.00    50500.00
     9410.83   115670.00   115000.00    44780.00
     9415.53   132042.00   134538.00    39930.00
     9420.23   145591.00   147008.00    36110.00
     9424.95   146378.00   150389.00    32960.00
     9429.67   142075.00   145132.00    30380.00
     9434.38   134078.00   133662.00    28260.00
     9439.10   121433.00   119035.00    26520.00
     9443.82   107633.00   103850.00    25090.00
     9448.53    92908.00    89741.00    23920.00
     9453.25    80769.00    77423.00    22960.00
     9457.98    68312.00    66999.00    22160.00
     9462.71    57913.00    58356.00    21510.00
     9467.45    51059.00    51236.00    20980.00
     9472.18    46369.00    45386.00    20540.00
     9476.91    39829.00    40585.00    20180.00
     9481.66    37513.00    36474.00    19890.00
     9486.40    35522.00    33253.00    19640.00
     9491.15    30814.00    30612.00    19440.00
     9495.90    29986.00    28447.00    19280.00
     9500.64    28210.00    26671.00    19150.00
     9505.39    26756.00    25214.00    19040.00
     9510.14    24651.00    24020.00    18940.00
     9514.89    24730.00    23040.00    18870.00
     9519.65    22581.00    22234.00    18810.00
     9524.41    22331.00    21573.00    18760.00
     9529.17    22279.00    21031.00    18720.00
     9533.94    22091.00    20587.00    18680.00
     9538.70    21176.00    20222.00    18650.00
     9543.48    22140.00    19922.00    18630.00
     9548.25    20956.00    19676.00    18610.00
